title,description,publishedAt,title_polarity,description_polarity
Coinbase lets you withdraw funds to your debit card,Cryptocurrency exchange Coinbase is adding a new way to withdraw funds from your Coinbase account If you ve added a compatible debit card to your account you can transfer USD EUR or GBP to your bank account nearly instantly There are some drawbacks and t,2020-10-02T17:39:25Z,0.0,0.06818181818181818
U S charges BitMEX cryptocurrency founders with failing to prevent money laundering Reuters India,U S prosecutors on Thursday filed criminal charges accusing four founders and executives of BitMEX one of the world s largest cryptocurrency derivatives exchanges of evading rules designed to stop money laundering,2020-10-02T02:00:00Z,0.0,-0.4
U S charges BitMEX cryptocurrency founders with failing to prevent money laundering Reuters com,U S prosecutors on Thursday filed criminal charges accusing four founders and executives of BitMEX one of the world s largest cryptocurrency derivatives exchanges of evading rules designed to stop money laundering,2020-10-02T02:03:00Z,0.0,-0.4
How to perfect your fintech story and close your next funding round,It s 2020 we re in the midst of a global pandemic and in and out of lockdown Kanye West with Elon Musk s blessings tried to run for president and the word cryptocurrency is no longer a niche reserved only for people within the tech sphere As we debate,2020-10-02T09:17:07Z,0.26666666666666666,0.0
US hits BitMEX cryptocurrency exchange founders with charges,Prosecutors say BitMEX founders and executives evaded anti money laundering rules firm says will fight the allegations,2020-10-02T03:36:36Z,0.0,-0.2
September Crypto Recap MicroStrategy Doubles Down On Bitcoin KuCoin Hacked For 200m And More,With September coming to a close with yesterday s close here is brief recap of all major Bitcoin and cryptocurrency news events of the past month,2020-10-02T00:27:42Z,0.17222222222222222,-0.0625
Why Overstock Shares Fell 17 in September,Shares remain dramatically higher so far in 2020,2020-10-02T12:34:00Z,0.0,0.175
Can Cryptocurrency Be a Safe Haven Asset,The ongoing coronavirus crisis has caused great turmoil and shaken the global financial system People face unprecedented global economic and,2020-10-02T17:30:27Z,0.5,0.26666666666666666
Bitcoin Stocks Fall as Trump Tests Positive for COVID 19,The cryptocurrency and Asian stock markets dumped early Friday after U S President Donald Trump announced he and his wife had tested positive to COVID 19,2020-10-02T05:46:15Z,0.22727272727272727,0.10909090909090909
Blockchain Bites BitMEX Investigation Trump s Diagnosis Babel s Leaked Audio,Elsewhere another European central banker has called for a digital euro Atari s cryptocurrency has a sale date and Venezuela built a national stock exchange on Ethereum,2020-10-02T16:21:43Z,0.0,0.0
8 Cryptocurrency Websites for Inspiration,Some people even say that cryptocurrencies are surely in the future of world economies It will affect not only investments but how the economy is moving towards non cash transactions Because of how trendy cryptocurrencies are currently and how popular it ma,2020-10-02T08:40:20Z,0.0,0.2833333333333334
Independent presidential candidate talks tech 2 party system in Boise Idaho Press Tribune,BOISE Former child actor and current cryptocurrency entrepreneur Brock Pierce took the steps of the Idaho Capitol on Thursday to promote his 2020 presidential campaign alongside running mate and,2020-10-02T01:30:00Z,0.0,0.0
Trump Covid Test BitMEX Charges Bring October Shocks for Bitcoin,Crypto analysts scramble to assess U S charges against BitMEX home of 100x bitcoin perpetual swaps and a venue for getting rekt,2020-10-02T13:51:06Z,0.0,0.0
Bitcoin Stocks Fall as Trump Tests Positive for COVID 19,The cryptocurrency and Asian stock markets dumped early Friday after U S President Donald Trump announced he and his wife had tested positive to COVID 19,2020-10-02T05:46:15Z,0.22727272727272727,0.10909090909090909
Venezuela Rolls Out Ethereum Based Stock Exchange to Help Skirt US Sanctions,The blockchain based exchange comes as part of new measures announced by President Nicolas Maduro in a big to sidestep tough U S sanctions,2020-10-02T09:00:46Z,0.0,-0.08417508417508418
Bitcoin s CME gap at 9 600 could be filled soon after renewed selling pressure,On October 1 one of the biggest cryptocurrency exchanges BitMEX was charged by the CFTC for illegally operating a cryptocurrency derivatives tradin,2020-10-02T20:10:22Z,0.4,-0.5
Bulls Exit BitMEX Bitcoin Futures Market,Since the announcement from U S regulators BitMEX has witnessed an outflow of more than 40 000 bitcoins currently worth more than 422 million,2020-10-02T18:15:20Z,0.0,0.43333333333333335
Coinbase lets you withdraw funds to your debit card,Cryptocurrency exchange Coinbase is adding a new way to withdraw funds from your Coinbase account If you ve added a compatible debit card to your account you can transfer USD EUR or GBP to your bank account nearly instantly In the U S Coinbase deducts 1,2020-10-02T17:39:25Z,0.0,0.06818181818181818
Bitcoin News Roundup for Oct 2 2020,With Pres Trump testing positive and a systemically important exchange in the crosshairs CoinDesk s Markets Daily is back for your latest crypto news roundup,2020-10-02T16:00:00Z,0.0,0.2254545454545455
Coinbase Reportedly Warns Some UK Users It s Handing Their Details to the Taxman,U K users of the exchange who have received 5 000 or more in the past tax year will have their information passed to the tax authority,2020-10-02T14:15:17Z,0.0,0.125
Binance Gemini Kraken So Far the Winners From BitMEX s Legal Woes,Binance Gemini and Kraken have become the biggest winners since US regulators charges against BitMEX on Thursday,2020-10-02T20:15:23Z,0.15000000000000002,0.0
Cosmos Gains Traction in India Amid Broader Crypto Resurgence,Cosmos and its ATOM token are finding success among university students in India during the 2020 bull market,2020-10-02T08:02:48Z,0.0,0.3
Facebook Has Gotten So Much Worse Since The Social Network,The movie depicting Facebook s rocky origins premiered ten years ago We revisit the film and Netflix s new The Social Dilemma to see what s changed,2020-10-02T14:00:00Z,-0.18333333333333335,0.05656565656565656
Crypto firm s no politics experiment,Some tech CEOs just want to make great products and boost profits while ignoring politics but 2020 isn t letting them Driving the news Coinbase CEO Brian Armstrong told employees in a memo Sunday that their company would henceforth take no political stands,2020-10-02T10:00:33Z,-0.2,0.4
68 Of Americans Want CEOs To Take A Stand On Social Issues Poll Finds,The result is a marked increase from last year according to nonprofit JUST Capital,2020-10-02T11:06:46Z,0.03333333333333333,0.05
Infographics Try Codnet Fintech,,2020-10-02T20:03:10Z,0.0,0.0
Stellar Lumens Price Prediction XLM risks diving to 0 065 as technicals turn bearish,The cryptocurrency market suffered a setback on Thursday with bears regaining control across the board Stellar Lumens also experienced the retreat,2020-10-02T03:18:33Z,0.25,0.525
What happened to BitMEX and why it is the first shot for DeFi industry,The Commodity Futures Trading Commission CFTC and the Department of Justice DOJ accused the larges trading platform of trading cryptocurrency deri,2020-10-02T08:30:08Z,0.25,0.0
Bitcoin Price Forecast BTC upside limited at 10 600 Confluence Detector,Despite a price drop the premier cryptocurrency has managed to stay above 10 000 for a record breaking 66th straight day However how long is this,2020-10-02T03:00:08Z,-0.07142857142857142,0.05000000000000001
Top 3 Price Prediction Bitcoin Ethereum and Ripple Bitcoin tumbles as selling pressure intensifies,The cryptocurrency market is still swimming in turbulent waters even as the weekend session is ushered in It has been a week with minor price moveme,2020-10-02T07:27:45Z,0.5,-0.05
US government files charges against Seychelles registered crypto exchange BitMEX,The U S Department of Justice and the Commodity Futures Trading Commission has filed charges against cryptocurrency exchange BitMEX for allegedly evading U S money laundering laws BitMEX registered in Seychelles is one of the world s most popular cryptoc,2020-10-02T03:20:36Z,0.0,0.3333333333333333
Co founders of major cryptocurrency trading platform BitMEX are charged with violating the US Bank Secrecy Act,Summary List Placement ul li Four top executives of major crypto trading platform BitMEX have been charged with violating US anti money laundering regulations the Commodity Futures Trading Commission said on Thursday li li The co founders and head of,2020-10-02T10:33:41Z,0.0625,0.28125
Santander teams up with poets to turn financial crimes into rhymes,Launching ahead of National Poetry Day on 1 October Santander s Scam Sonnets aim to raise awareness of investment fraud which is when a fraudster offers a fake but convincing opportunity to make a profit by handing over a sum of money,2020-10-02T11:05:15Z,0.0,0.033333333333333326
Safe cryptotrading 101,Decided to invest in cryptocurrency Read our guide to avoid the most common rookie mistakes and not lose money,2020-10-02T10:35:58Z,0.5,0.1
US charges BitMEX cryptocurrency founders with failing to prevent money laundering,NEW YORK U S prosecutors on Thursday filed criminal charges accusing four founders and executives of BitMEX one of the world s largest cryptocurrency derivatives exchanges of evading rules designed to stop money laundering The Department of Justice char,2020-10-02T02:00:29Z,0.0,-0.13181818181818183
Top sites infiltrated with credit card skimmers and crypto miners,An investigation conducted into the top 10 000 Alexa sites by Palo Alto Networks reveals many of these popular websites are infected with cryptocurrency miners and credit card skimming scripts,2020-10-02T16:58:01Z,0.5,0.5333333333333333
Romania set to auction Bitcoin and Ether confiscated in criminal case,Prospective bidders will need to provide the auction house with a crypto address hosted on a registered compliant trading platform,2020-10-02T09:31:16Z,-0.4,0.0
No iPhone 12 but new iPads Apple Watches and antitrust battles Apple s September 2020 in review,September 2020 was the first September in eight years where Apple didn t launch a new iPhone However in the midst of App Store and antitrust battles it did rather well with iOS 14 a new iPad Air and Apple Watch Series 6 plus a new fitness program and t,2020-10-02T12:49:24Z,0.13636363636363635,0.16477272727272727
Dead hamster immortalised as answer to password security question,A DECEASED hamster will love on in memory after becoming the answer to a password security question,2020-10-02T15:35:27Z,-0.2,0.475
Five twats you always get stuck with at weddings,THANKS to the government the twat pool at weddings is temporarily a little shallower However you ll still find the following people at every single wedding,2020-10-02T15:35:14Z,0.0,-0.014732142857142853
Yearn finance YFI Drops 10 Despite These 2 Fundamental Trends,Despite resilience in the price of Bitcoin it s been another brutal day for Yearn finance YFI and other DeFi coins The leading decentralized finance coin based on Ethereum has dropped 10 in the past 24 hours The cryptocurrency currently trades for 20,2020-10-02T23:59:01Z,0.0,-0.3125
